,acc,n_epoch,shuffle,batch_size,dynamic_lr,cost_log,train_log,val_log,hidden_s,time
10,0.97,10,False,1,False,"[319.0388717969914, 314.21375791152985, 308.2706361984252, 277.69492723238926, 232.74263034795072, 208.72594549284062, 196.3328895880939, 188.82773936799566, 183.87568404331188, 180.40778116130903]","[0.6268656716417911, 0.6268656716417911, 0.7121535181236673, 0.906183368869936, 0.9275053304904051, 0.9360341151385928, 0.9445628997867804, 0.9616204690831557, 0.9637526652452025, 0.9680170575692963]","[0.63, 0.63, 0.73, 0.93, 0.93, 0.93, 0.94, 0.95, 0.95, 0.97]",5.0,1.470936
11,0.97,10,False,1,False,"[317.4407417351267, 287.3638469451304, 222.23739521931077, 190.46260820590177, 180.79424520622447, 176.42209841191882, 173.84451483158, 171.84944370441028, 170.47128109836387, 169.32343621130565]","[0.6268656716417911, 0.9488272921108742, 0.9552238805970149, 0.9509594882729211, 0.9552238805970149, 0.9573560767590619, 0.9573560767590619, 0.9594882729211087, 0.9616204690831557, 0.9637526652452025]","[0.63, 0.96, 0.95, 0.95, 0.95, 0.97, 0.97, 0.97, 0.97, 0.97]",8.0,1.480907
12,0.37,10,True,2,True,"[165.23657640139083, 154.16260675532527, 163.60877899729817, 162.60877899729815, 164.32965154743914, 162.8005240975802, 159.71314174800324, 157.93401429814435, 162.4340142981443, 163.9340142981443]","[0.6268656716417911, 0.6247334754797441, 0.6247334754797441, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.373134328358209, 0.6268656716417911, 0.373134328358209]","[0.63, 0.63, 0.37, 0.63, 0.63, 0.63, 0.63, 0.37, 0.63, 0.37]",4.0,0.781517
13,0.37,10,True,2,True,"[158.83221552948365, 151.81493217520236, 143.34299064614208, 134.70949125598952, 179.3323704896244, 184.4340142981442, 184.1840142981442, 184.4340142981442, 184.1840142981442, 184.18401429814423]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209]","[0.63, 0.63, 0.63, 0.63, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37]",5.0,0.798067
14,0.63,10,True,2,True,"[157.94863651016053, 165.05609962705796, 159.46561398791695, 158.169315182772, 157.3934986701837, 157.1636616502563, 156.85640571283588, 156.6843928277519, 156.8515107506625, 156.60181640812186]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.793026
15,0.63,10,True,2,False,"[157.69537945226236, 176.5256699653376, 176.43401429716863, 160.43401429815052, 165.68401429814426, 161.1840142981443, 160.1840142981443, 160.1840142981443, 162.4340142981443, 161.18401429814426]","[0.6268656716417911, 0.373134328358209, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.373134328358209, 0.373134328358209, 0.6268656716417911, 0.373134328358209, 0.6268656716417911]","[0.63, 0.37, 0.63, 0.63, 0.63, 0.37, 0.37, 0.63, 0.37, 0.63]",4.0,0.783539
16,0.63,10,True,2,False,"[160.44882330914857, 167.07104853902217, 157.84303698666508, 157.24695764071978, 156.9955615228956, 156.68713538155922, 156.77993503366795, 156.80195023695782, 156.75060858442987, 156.4847297718294]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.776231
17,0.63,10,True,2,False,"[161.5564441423405, 154.43401429814432, 154.68401429814432, 160.68401429814435, 164.9340142981443, 165.9340142981443, 160.1840142981443, 167.9340142981443, 167.1840142981443, 164.18401429814426]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.373134328358209, 0.6268656716417911, 0.373134328358209, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.37, 0.63, 0.37, 0.63]",8.0,0.795767
18,0.63,10,False,2,True,"[166.8674077701453, 162.8232523710071, 159.23184474688242, 157.93077343234688, 157.30435806788023, 156.97038809473878, 156.77945316756592, 156.665226743808, 156.59486783901724, 156.55070856319847]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.778858
19,0.63,10,False,2,True,"[156.4447337260602, 176.35778359809967, 160.3860875006371, 162.9340142975429, 161.43401429814426, 159.9340142981443, 162.93401429814426, 162.93401429814426, 161.43401429814426, 159.9340142981443]","[0.6375266524520256, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.64, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.773897
20,0.63,10,False,2,True,"[160.17199236294337, 169.77417410082325, 155.0767135992693, 154.43469038669937, 162.05419694635793, 163.43318302572817, 162.93401429814426, 161.43401429814426, 159.9340142981443, 162.93401429814426]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.780595
21,0.37,10,False,2,False,"[156.99814662278862, 166.24005619239642, 184.43401429814423, 184.43401429814423, 184.43401429814423, 184.43401429814423, 184.43401429814423, 184.43401429814423, 184.43401429814423, 184.43401429814423]","[0.6268656716417911, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209]","[0.63, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37]",4.0,0.769746
22,0.63,10,False,2,False,"[159.8710761163903, 156.94767535266413, 155.7297664660192, 156.22491141343795, 158.83795984431276, 160.57622824953657, 158.18627500578975, 157.4334160448599, 157.04153842739504, 156.82102337657682]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.780074
23,0.63,10,False,2,False,"[156.81270094452833, 157.37058895148837, 157.14822035212129, 156.15816096508897, 155.32707726014897, 158.63159909256143, 154.53882820915933, 159.4471745713184, 162.63603556319376, 159.94346229370643]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.78466
24,0.63,10,True,8,True,"[40.16717780910281, 40.146204056736785, 42.46015132357492, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.232073
25,0.63,10,True,8,True,"[40.16328654880041, 40.101439837572265, 40.043051429673206, 39.970900736255764, 39.92223612104149, 39.86573300246029, 39.827303638835204, 39.778848281129164, 39.71716516955465, 39.679552812794775]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.238944
26,0.63,10,True,8,True,"[40.48804023290022, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.243188
27,0.63,10,True,8,False,"[40.437175922829056, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.242401
28,0.63,10,True,8,False,"[40.151757556973, 40.036412368129355, 39.91146149683215, 39.88572281974645, 42.696850376878274, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.215962
29,0.63,10,True,8,False,"[40.323101722682395, 43.38708806814356, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.215861
30,0.63,10,False,8,True,"[40.104570366165376, 39.87691992477639, 39.927024126658296, 43.20416680492151, nan, nan, nan, nan, nan, nan]","[0.8635394456289979, 0.6268656716417911, 0.6268656716417911, 0.6332622601279317, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.89, 0.63, 0.63, 0.65, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.20193
31,0.63,10,False,8,True,"[39.9511699163141, 43.33419932862238, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.199125
32,0.63,10,False,8,True,"[40.157274802317495, 41.286076879761794, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6289978678038379, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.64, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.205416
33,0.63,10,False,8,False,"[41.222802022787405, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.202172
34,0.63,10,False,8,False,"[40.13138253202021, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.213542
35,0.63,10,False,8,False,"[40.12072915202143, 43.04588792829801, nan, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.208565
36,0.63,10,True,16,True,"[20.112394716369078, 20.098122857860726, 20.07823968007694, 19.923356601534415, 19.643646418519914, 21.02214273153147, nan, nan, nan, nan]","[0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.37, 0.37, 0.37, 0.37, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.108303
37,0.63,10,True,16,True,"[19.981524448582295, 19.507143163077487, 20.7506957364332, nan, nan, nan, nan, nan, nan, nan]","[0.373134328358209, 0.373134328358209, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.37, 0.37, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.115351
38,0.63,10,True,16,True,"[20.084701613213113, 20.065746095189862, 20.039183792113466, 20.032544772281092, 20.556668748220165, 20.966146570654864, nan, nan, nan, nan]","[0.650319829424307, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.65, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.111716
39,0.66,10,True,16,False,"[20.114337170820953, 20.096806461903764, 20.08101959130161, 20.069829975389766, 20.05811583593391, 20.047321298954078, 20.03747669500055, 20.03104258368066, 20.021510881190302, 20.014029571143944]","[0.3816631130063966, 0.6439232409381663, 0.6289978678038379, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6289978678038379, 0.6353944562899787, 0.67590618336887]","[0.35, 0.64, 0.64, 0.63, 0.63, 0.63, 0.63, 0.63, 0.64, 0.66]",4.0,0.103697
40,0.63,10,True,16,False,"[20.076918134810647, 20.062958749244558, 20.20186400356262, 20.952194414146735, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.108262
41,0.63,10,True,16,False,"[20.090007462352514, 20.406030650434918, 21.113580980595163, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.116977
42,0.63,10,False,16,True,"[20.108656626024402, 20.802216855850727, 20.971813850721258, nan, nan, nan, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.106087
43,0.63,10,False,16,True,"[20.096471335412357, 20.08498889377563, 20.072757625399547, 20.060949129800818, 19.998625150568497, 20.16750390546264, 20.922053401791654, nan, nan, nan]","[0.5181236673773987, 0.7974413646055437, 0.5650319829424307, 0.3752665245202559, 0.373134328358209, 0.6268656716417911, 0.6289978678038379, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.5, 0.69, 0.49, 0.37, 0.37, 0.63, 0.64, 0.63, 0.63, 0.63]",5.0,0.106618
44,0.63,10,False,16,True,"[20.091395194347243, 20.103467525331737, 20.081284231430015, 19.914127717392432, 20.929321736182978, nan, nan, nan, nan, nan]","[0.4115138592750533, 0.3795309168443497, 0.3752665245202559, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.44, 0.39, 0.38, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.109018
45,0.63,10,False,16,False,"[20.09735161420946, 20.08897469419136, 20.08074231925926, 20.07267198376199, 20.06477911335331, 20.057077052451728, 20.049577089669317, 20.042288515842777, 20.03521870900805, 20.028373240656066]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.107738
46,0.63,10,False,16,False,"[20.084487871535696, 20.086168918667767, 20.079765799217235, 20.071959650157346, 20.064127977472555, 20.056219365213334, 20.048459110338282, 20.04087118619117, 20.033477656394375, 20.02619991338411]","[0.6311300639658849, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",5.0,0.105855
47,0.63,10,False,16,False,"[20.08002799800906, 20.058187863988994, 20.105102891874644, 20.641596646306983, 21.211248316511337, nan, nan, nan, nan, nan]","[0.6439232409381663, 0.6332622601279317, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.64, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.108377
48,0.63,10,True,32,True,"[9.701393637384855, 9.693553199711983, 9.697065114387424, 9.700076716331896, 9.742758584545797, 9.846884633535918, 9.94983993230969, 9.974644859026728, 9.912852745212883, nan]","[0.6247334754797441, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.055624
49,0.63,10,True,32,True,"[9.695569996480486, 9.693973348652339, 9.699916843776121, 9.712157303967002, 9.756181912851531, 9.86902997445801, 9.953775932624666, 9.969460943374822, 9.944110624633478, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6289978678038379, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.64, 0.63]",5.0,0.057747
50,0.63,10,True,32,True,"[9.710842230782117, 9.706388500609943, 9.70244987159568, 9.699207298627366, 9.696708982396242, 9.70589277441777, 9.806336475259444, 9.952320533065032, 9.973580856598113, nan]","[0.21748400852878466, 0.5501066098081023, 0.6311300639658849, 0.6289978678038379, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.16, 0.52, 0.64, 0.64, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.055059
51,0.63,10,True,32,False,"[9.700968983801001, 9.69954780303139, 9.698745213176831, 9.698088242630682, 9.697925699493663, 9.696858393811272, 9.696601360539908, 9.696321387755972, 9.695758554284717, 9.6940922634186]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.053769
52,0.63,10,True,32,False,"[9.708009240360392, 9.705935536056552, 9.705706537839498, 9.698276725712587, 9.683269802784645, 9.674270150028475, 9.878789778407315, 9.969525191772828, 9.944110624633478, nan]","[0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.373134328358209, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6289978678038379, 0.6268656716417911]","[0.37, 0.37, 0.37, 0.37, 0.37, 0.63, 0.63, 0.63, 0.64, 0.63]",5.0,0.056439
53,0.63,10,True,32,False,"[9.676466832458992, 9.704252210544539, 9.803121904619445, 9.937359124376405, 9.973921595183672, 9.975360624633478, nan, nan, nan, nan]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",8.0,0.059435
54,0.63,10,False,32,True,"[9.69473381046639, 9.691166091402568, 9.687328163179442, 9.683154242407582, 9.67864349736477, 9.673920961857633, 9.66949370152966, 9.666804694142082, 9.669577527163026, 9.687094763235004]","[0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911, 0.6268656716417911]","[0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63, 0.63]",4.0,0.055065
